time,left,right
0.000,0.218,-0.169
0.020,0.218,-0.169
0.040,0.218,-0.169
0.060,0.218,-0.169
0.080,0.218,-0.169
0.100,0.218,-0.169
0.120,0.218,-0.169
0.140,0.219,-0.169
0.160,0.219,-0.169
0.180,0.220,-0.169
0.200,0.221,-0.168
0.220,0.222,-0.167
0.240,0.223,-0.167
0.260,0.224,-0.166
0.280,0.225,-0.165
0.300,0.226,-0.165
0.320,0.228,-0.164
0.340,0.229,-0.163
0.360,0.230,-0.162
0.380,0.232,-0.161
0.400,0.234,-0.160
0.421,0.235,-0.160
0.440,0.237,-0.159
0.460,0.239,-0.158
0.480,0.241,-0.156
0.500,0.243,-0.155
0.520,0.244,-0.153
0.540,0.246,-0.152
0.560,0.248,-0.150
0.580,0.250,-0.148
0.600,0.252,-0.146
0.620,0.254,-0.144
0.640,0.256,-0.142
0.660,0.258,-0.140
0.680,0.260,-0.138
0.700,0.262,-0.135
0.720,0.264,-0.133
0.740,0.266,-0.130
0.760,0.268,-0.128
0.780,0.270,-0.125
0.801,0.271,-0.122
0.820,0.273,-0.120
0.840,0.276,-0.117
0.860,0.278,-0.115
0.881,0.280,-0.112
0.900,0.282,-0.109
0.921,0.284,-0.106
0.943,0.285,-0.104
0.962,0.287,-0.101
0.981,0.290,-0.098
1.000,0.291,-0.096
1.020,0.293,-0.093
1.040,0.295,-0.090
1.060,0.296,-0.088
1.080,0.299,-0.086
1.100,0.301,-0.083
1.120,0.303,-0.081
1.140,0.305,-0.079
1.160,0.307,-0.077
1.180,0.309,-0.075
1.200,0.311,-0.073
1.220,0.313,-0.071
1.246,0.316,-0.069
1.260,0.318,-0.068
1.280,0.320,-0.066
1.300,0.321,-0.065
1.320,0.323,-0.064
1.340,0.325,-0.062
1.360,0.326,-0.061
1.382,0.328,-0.060
1.400,0.329,-0.059
1.420,0.331,-0.058
1.440,0.332,-0.057
1.460,0.333,-0.056
1.480,0.334,-0.055
1.500,0.335,-0.054
1.521,0.336,-0.054
1.540,0.336,-0.053
1.560,0.337,-0.052
1.581,0.337,-0.052
1.600,0.338,-0.051
